iter	Passed	Remaining
0	43	131003
1	87	130836
2	145	145351
3	191	143583
4	241	144385
5	287	143535
6	355	152024
7	422	158004
8	478	159136
9	543	162505
10	593	161392
11	639	159203
12	689	158333
13	738	157481
14	778	154989
15	825	154038
16	867	152205
17	914	151449
18	992	155679
19	1041	155254
20	1092	154919
21	1140	154328
22	1191	154252
23	1244	154304
24	1294	154070
25	1391	159222
26	1457	160500
27	1505	159772
28	1547	158571
29	1592	157671
30	1638	156894
31	1686	156395
32	1732	155788
33	1777	155057
34	1825	154655
35	1873	154269
36	1921	153893
37	1971	153689
38	2022	153586
39	2071	153267
40	2119	152965
41	2167	152660
42	2224	152950
43	2272	152661
44	2319	152338
45	2367	152033
46	2415	151762
47	2459	151284
48	2506	150930
49	2553	150639
50	2599	150321
51	2641	149766
52	2687	149407
53	2734	149207
54	2777	148727
55	2821	148313
56	2869	148162
57	2931	148686
58	2976	148395
59	3020	147981
60	3065	147674
61	3111	147442
62	3159	147308
63	3206	147118
64	3253	146897
65	3298	146619
66	3342	146341
67	3385	145987
68	3432	145790
69	3478	145598
70	3523	145364
71	3570	145215
72	3632	145664
73	3681	145566
74	3722	145187
75	3772	145148
76	3818	144953
77	3865	144804
78	3912	144667
79	3966	144781
80	4022	144946
81	4074	144997
82	4125	144998
83	4173	144888
84	4219	144698
85	4265	144525
86	4312	144389
87	4358	144236
88	4403	144026
89	4446	143755
90	4488	143477
91	4529	143172
92	4564	142691
93	4606	142419
94	4650	142196
95	4694	141997
96	4740	141862
97	4786	141750
98	4830	141538
99	4880	141530
100	4925	141381
101	4974	141335
102	5024	141329
103	5070	141180
104	5115	141029
105	5160	140896
106	5206	140766
107	5249	140560
108	5295	140439
109	5339	140274
110	5427	141264
111	5491	141606
112	5553	141894
113	5609	141996
114	5658	141959
115	5706	141885
116	5755	141833
117	5816	142067
118	5868	142077
119	5920	142096
120	5966	141966
121	6016	141938
122	6063	141834
123	6107	141662
124	6206	142738
125	6262	142855
126	6306	142669
127	6354	142586
128	6402	142486
129	6446	142325
130	6490	142136
131	6536	142016
132	6585	141950
133	6630	141819
134	6673	141627
135	6720	141533
136	6767	141423
137	6814	141333
138	6863	141275
139	6910	141164
140	6949	140918
141	6998	140850
142	7033	140519
143	7069	140215
144	7114	140072
145	7146	139702
146	7190	139551
147	7235	139429
148	7282	139344
149	7316	139006
150	7357	138817
151	7408	138810
152	7458	138788
153	7501	138635
154	7549	138563
155	7580	138197
156	7627	138116
157	7670	137968
158	7715	137865
159	7766	137863
160	7810	137733
161	7852	137562
162	7899	137481
163	7948	137443
164	8014	137703
165	8065	137689
166	8115	137678
167	8147	137338
168	8198	137332
169	8244	137244
170	8297	137275
171	8344	137206
172	8389	137098
173	8425	136847
174	8470	136735
175	8515	136629
176	8562	136560
177	8608	136479
178	8656	136419
179	8697	136262
180	8741	136137
181	8783	135999
182	8828	135904
183	8875	135831
184	8918	135705
185	8960	135557
186	9006	135480
187	9056	135468
188	9092	135238
189	9144	135239
190	9185	135088
191	9206	134651
192	9249	134527
193	9294	134430
194	9343	134405
195	9375	134127
196	9425	134116
197	9470	134021
198	9512	133888
199	9560	133843
200	9608	133795
201	9657	133765
202	9701	133675
203	9745	133568
204	9788	133463
205	9835	133405
206	9865	133106
207	9907	132995
208	9955	132947
209	9997	132826
210	10041	132731
211	10091	132709
212	10167	133033
213	10220	133053
214	10265	132978
215	10289	132614
216	10337	132583
217	10387	132561
218	10435	132518
219	10481	132445
220	10523	132332
221	10570	132271
222	10615	132188
223	10657	132078
224	10703	132009
225	10750	131957
226	10794	131867
227	10835	131738
228	10883	131691
229	10927	131606
230	10968	131485
231	11004	131299
232	11054	131283
233	11101	131231
234	11153	131235
235	11200	131174
236	11246	131118
237	11299	131135
238	11348	131103
239	11400	131105
240	11449	131077
241	11500	131071
242	11551	131054
243	11598	131002
244	11650	131007
245	11700	130991
246	11749	130959
247	11784	130767
248	11828	130683
249	11868	130554
250	11916	130510
251	11964	130467
252	12006	130362
253	12050	130277
254	12098	130242
255	12145	130184
256	12190	130107
257	12233	130015
258	12269	129847
259	12315	129790
260	12369	129812
261	12403	129621
262	12460	129678
263	12507	129620
264	12552	129547
265	12596	129466
266	12641	129396
267	12684	129304
268	12726	129206
269	12771	129133
270	12813	129037
271	12857	128956
272	12899	128854
273	12943	128776
274	12988	128699
275	13030	128606
276	13098	128764
277	13146	128725
278	13192	128659
279	13240	128621
280	13285	128548
281	13327	128457
282	13380	128462
283	13428	128424
284	13476	128378
285	13522	128322
286	13566	128247
287	13610	128166
288	13665	128192
289	13698	128009
290	13754	128041
291	13807	128052
292	13858	128033
293	13903	127969
294	13930	127731
295	13973	127653
296	14022	127619
297	14066	127546
298	14118	127542
299	14172	127554
300	14194	127279
301	14241	127233
302	14294	127234
303	14349	127259
304	14396	127208
305	14449	127215
306	14499	127187
307	14568	127333
308	14615	127281
309	14649	127122
310	14692	127039
311	14736	126958
312	14781	126890
313	14821	126786
314	14866	126720
315	14906	126611
316	14948	126521
317	14988	126409
318	15047	126465
319	15089	126371
320	15134	126306
321	15182	126270
322	15229	126224
323	15274	126154
324	15317	126071
325	15349	125905
326	15396	125854
327	15443	125808
328	15486	125730
329	15532	125675
330	15582	125652
331	15632	125628
332	15678	125570
333	15722	125498
